CODE, NEIGHBOURHOOD_NAME
001,West Point Grey
002,Kitsilano
003,Dunbar-Southlands
004,Arbutus-Ridge
005,Arbutus-Ridge
006,Kerrisdale
007,Fairview
008,Shaughnessy
009,South Cambie
010,Kerrisdale
011,Oakridge
012,Marpole
013,Mount Pleasant
014,Grandview-Woodland
015,Kensington-Cedar Cottage
016,Riley Park
017,Sunset
018,Killarney
019,Victoria-Fraserview
020,Hastings-Sunrise
021,Hastings-Sunrise
022,Renfrew-Collingwood
023,Renfrew-Collingwood
024,Killarney
025,Killarney
026,Downtown
027,West End
028,Downtown
029,Downtown
030,Downtown
